TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
2418,5438445.43255,1741.28126293,2278883.75,18677.5792028,4280,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5438445.43255,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[695-2][5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5284898.12328
2511,5438445.43255,9895.12019027,2227490.5,18723.307887,4314,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5438445.43255,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[695-2][5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5284898.12328
2605,5602589.81313,9892.46283204,2250388,18828.6848407,4303,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[695-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5438445.43255,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779
2698,5602589.81313,1767.24072163,2231965,18997.2961283,4336,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015,[695-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5438445.43255
2792,5602589.81313,1402.68085604,2220762,19109.7802041,4320,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015,[695-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5438445.43255
2885,5602589.81313,3677.83997859,2241685,19069.0644236,4309,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
2978,5602589.81313,3969.38716879,2223376.5,19142.5398475,4337,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
3070,5602589.81313,11366.5987964,2219914.5,19216.666021,4291,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
3219,5602589.81313,579.385554569,1731023,24301.5847099,4351,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
3312,5602589.81313,1030.67008913,2372238.25,19746.5202187,4108,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
