TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
2561,5438804.47446,9338.14745876,2565448.75,20939.5233859,3632,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2650,5438804.47446,1254.3671602,2570822.25,20929.5560446,3593,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2792,5438804.47446,318.376497663,1943396.125,27183.0789536,3784,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2881,5438804.47446,1857.78641013,2817307.5,20874.1683594,3259,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2973,5438804.47446,1007.18794104,2607375.25,21276.9988082,3550,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
3061,5438804.47446,1355.08664454,2582046.25,21122.6064794,3568,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
3151,5820296.86417,9371.42545274,2524274,21278.5315342,3639,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
3239,5820296.86417,2281.15870852,2555306.5,21173.4721026,3614,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
3328,5820296.86417,2105.26555388,2569581.25,21101.1296305,3608,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
3416,5820296.86417,1660.97406434,2553658,21152.1724108,3598,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
