TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
2464,6164656.45387,10452.8910565,3090412,22681.848829,1783,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2587,6164656.45387,8964.39489491,3147184.5,22228.4675982,1727,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
121,3948365.48705,87.3018781134,113953.46875,2792.84635088,3967,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4259-2][5314-2][9179-2][14825-2][19056-2];3948365.48705,[8060-2][9179-2][10981-2][14825-2][19056-2];2919388.63066,[5314-2][8060-2][9179-2][14825-2][19056-2];2886558.61092
242,4936694.76031,87.3018781134,384117.3125,7722.53911369,3979,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19049-2][19056-2];4936694.76031,[5314-2][9179-2][14825-2][19056-2][19057-2];4709162.16477,[9179-2][10981-2][14825-2][19056-2][19057-2];4557260.5034
364,5018474.70905,252.219508501,934845.9375,14715.6539759,3631,57[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511,[5314-2][9179-2][10981-2][19049-2][19056-2];4936694.76031
488,5045895.45441,300.783367721,1635266.5,19264.8776055,3055,100[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511
610,5045895.45441,300.783367721,2133617,20985.5349924,2586,121[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511
738,5045895.45441,9032.6820215,2388554.5,21569.5445167,2350,132[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511
863,5045895.45441,1293.07174185,2574322.75,21466.0609346,2181,143[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511
989,5045895.45441,642.815486772,2672967.25,21648.9932285,2056,148[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][10981-2][11288-2][19396-2];4971537.34847
1115,6164656.45387,642.815486772,2718817.75,22115.4982644,2047,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1241,6164656.45387,9020.40081415,2784056,22035.8071785,2014,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1369,6164656.45387,9020.40081415,2848398,22101.8017343,1947,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1498,6164656.45387,4792.85687711,2846824.75,22171.3076982,1950,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1623,6164656.45387,8945.55724448,2896640.5,22455.6265457,1931,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1748,6164656.45387,8907.31095775,2949320.25,22394.2410352,1870,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1950,6164656.45387,137.538684667,2128582.5,30320.3030666,2653,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2075,6164656.45387,9087.0350724,3291881.75,22258.2812235,1553,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2201,6164656.45387,795.157869862,3121635,23045.5960986,1772,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2328,6164656.45387,302.009542308,3093144.25,23028.0221198,1827,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2454,6164656.45387,8976.00637536,3073083.25,23051.7375712,1811,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
121,4600023.71636,131.366661974,120248.921875,2985.66647703,3933,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][9179-2][14825-2][19056-2];4600023.71636,[5314-2][9179-2][10981-2][14825-2][17635-2];3906068.1459,[9179-2][10981-2][14473-2][14825-2][19056-2];2269546.67979
244,4955179.48511,131.366661974,419760.21875,8307.56827325,3875,21[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511,[5314-2][9179-2][9601-2][14825-2][19056-2];4723348.35131,[695-2][5314-2][9179-2][14825-2][19056-2];4600023.71636
366,4955179.48511,131.366661974,1018916.125,16144.3953439,3509,70[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511,[695-2][5314-2][9179-2][10981-2][19056-2];4784223.20197,[5314-2][9179-2][10981-2][19053-2][19056-2];4775561.76526
494,5018474.70905,333.091659326,1779900.625,20925.8049049,2950,111[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511,[5314-2][9179-2][10981-2][19049-2][19056-2];4936694.76031
