TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 32,Top
0,6,-4,1.28756153584,0.0688743913684,276,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[522-2][846-2][1048-2];5;4;0;
0,7,-4,1.28235840797,0.0438057683094,256,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;
0,7,-4,1.24620139599,0.0598564186217,256,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;,[522-2][846-2][1048-2];5;4;0;
0,7,-4,1.31560456753,0.0463734806607,248,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;,[121-2][330-2][951-2];5;4;0;
0,7,-2.99999991059,1.51653075218,0.0393894987626,264,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;,[121-2][330-2][951-2];5;4;0;
0,7,-4,1.49751508236,0.0732103308203,250,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;,[117-2][884-2][1377-2];5;4;0;
0,7,-3.33333320088,1.45225584507,0.0797834475381,251,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;
0,7,-2.99999991059,1.74617755413,0.0462264798051,257,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;,[972-2][1223-2][1403-2];6;5;0;
0,7,-2.99999991059,1.84084355831,0.0833535883838,239,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[972-2][1223-2][1403-2];6;5;0;,[756-2][1270-2][1744-2];6;5;0;
0,7,-2.99999991059,1.74561560154,0.0837273187251,237,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[972-2][1223-2][1403-2];6;5;0;,[756-2][1270-2][1744-2];6;5;0;
0,7,-2.99999991059,1.82975459099,0.0611796073179,258,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;,[972-2][1223-2][1403-2];6;5;0;
0,7,-2.99999991059,1.73416364193,0.0912221772235,247,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[972-2][1223-2][1403-2];6;5;0;,[756-2][1270-2][1744-2];6;5;0;
0,7,-5.99999982119,1.75324094296,0.0945351413578,245,-1[531-2][924-2][1112-2];32;63;1;,[330-2][372-2][884-2];7;6;0;,[35-2][1030-2][1158-2];7;6;0;,[756-2][1270-2][1744-2];6;5;0;
