TimeElapsed, Max, Min, Mean, Std, Number of items.,,Top
0,83,-8,20.6280002594,0.989222246261,446,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-14,25.9179992676,0.698315927541,414,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-20,31.1459999084,0.926216000062,383,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-16,25.3920001984,0.692797539485,402,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-16,28.6520004272,0.942814577345,391,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-17,29.7000007629,0.961486307597,377,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-11,26.3460006714,1.19757438606,385,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-21,32.7900009155,0.868870772788,349,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-25,31.8719997406,0.963044222301,348,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-6,26.232000351,0.680785867789,384,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-14,33.9199981689,1.06551592502,344,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
