TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
1382,46.6357154846,-5.99999982119,16.372385025,0.234656249936,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1414,46.6357154846,-4,24.8390369415,0.194872498135,1394,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1446,46.6357154846,-5.99999982119,27.8346061707,0.161659050703,949,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1477,46.6357154846,-5.99999982119,28.4068470001,0.154269674013,855,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1508,46.6357154846,-4.99999992549,28.6967315674,0.151109937631,805,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1540,46.6357154846,-4.99999992549,28.9174938202,0.147520348811,781,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1592,46.6357154846,-4.99999992549,16.3713703156,0.234730433141,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1623,46.6357154846,-2.99999991059,25.3785381317,0.189948162475,1315,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1655,46.6357154846,-8,27.7256374359,0.163376693978,967,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1686,46.6357154846,-5.99999982119,28.3300991058,0.154839064697,863,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1717,46.6357154846,-4.24999998417,28.1759414673,0.156911835261,891,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1749,46.6357154846,-4,28.6315193176,0.15156766286,824,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
