TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
316,761,-4,323.834320068,4.75024162521,2610,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
349,761,1,479.342803955,3.84270827061,638,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
382,761,1.75,457.162811279,3.89731471729,695,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
414,761,4,457.221008301,3.88261814974,685,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
447,761,2,449.098693848,3.92327043987,700,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
481,761,3,453.025604248,3.93046806012,691,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
534,761,-2.99999991059,344.560913086,4.96718511746,2607,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
33,467,-4,17.6752586365,0.458496560498,4391,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];467,[5314-2][9179-2][10981-2][14823-2][19051-2][19054-2][19056-2];452,[5314-2][7567-2][9179-2][14823-2][14825-2][19054-2][19056-2];332
66,745,-2.99999991059,51.6580429077,1.01753536313,3642,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737,[5314-2][9179-2][10981-2][14825-2][19051-2][19054-2][19056-2];610
98,761,-2.99999991059,108.151290894,1.70229460512,2661,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
131,761,1.85714280605,169.240982056,2.39826725229,2016,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
164,761,2,247.71232605,3.11997312852,1502,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
197,761,1,319.887939453,3.57388134525,1180,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
229,761,3,377.003814697,3.79330624782,928,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
262,761,2,409.379852295,3.8741929968,844,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
