TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
165,429,-2.99999991059,106.283447266,1.45967867573,1725,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
198,429,1,143.710678101,1.84887221851,1395,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
232,429,1,183.695602417,2.13262554356,1127,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
285,429,-2.99999991059,170.213790894,2.66517705328,2631,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
318,429,-2.99999991059,273.296600342,2.3245593469,661,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
351,429,2,268.42010498,2.35261194145,645,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
385,429,2.5,270.583862305,2.3591746983,607,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
418,429,2,271.026763916,2.36536974246,604,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
451,429,2,272.989562988,2.37199515534,627,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
504,429,-2.99999991059,206.388168335,2.97846720904,2634,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
537,429,-2,313.158569336,2.27615345774,453,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
570,429,1,286.008514404,2.35496094104,518,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
603,429,1,284.594390869,2.34669149776,544,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
636,429,2,281.312652588,2.34280338511,561,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
670,429,2,278.105529785,2.35900357348,566,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
723,429,-2.99999991059,206.542266846,2.97652542731,2629,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
757,429,1,305.042663574,2.3129602541,472,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
789,429,1,286.34475708,2.35501739282,541,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
