TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
1336,1888,-5.99999982119,904.348327637,13.183571221,2648,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1368,1888,-2.99999991059,1454.67651367,10.4088221391,465,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1401,1888,2,1416.38562012,10.6755317136,482,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1433,1888,1.66666662693,1420.16381836,10.5945995042,500,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1465,1888,1,1422.39587402,10.5613664207,519,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1496,1888,1,1418.14135742,10.594473864,492,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1549,1888,-6.99999968708,904.360595703,13.1834739815,2649,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1581,1888,-6.99999968708,1445.45483398,10.4720449281,492,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1613,1888,2.25,1431.39465332,10.5586973248,490,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1645,1888,2.25,1430.06005859,10.5450624845,466,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1677,1888,2,1401.76879883,10.747453275,494,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1709,1888,1,1414.05883789,10.648982881,512,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1761,1888,-6.99999968708,904.444396973,13.1825221132,2645,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1793,1888,-2,1443.49047852,10.5255879101,517,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1825,1888,1.5,1429.55993652,10.5775739692,488,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1857,1888,-1.13333332433,1396.16479492,10.7797579986,494,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
