[199-2][277-2][460-2];8,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[114-2][389-2][537-2];6,[209-2][289-2][485-2];6,[70-2][389-2][525-2];6,[199-2][320-2][389-2];5.5,[199-2][277-2][431-2];5,[31-2][366-2][502-2];5,[40-2][289-2][311-2];5
[199-2][277-2][460-2];8,[70-2][389-2][525-2];6,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[114-2][389-2][537-2];6,[209-2][289-2][485-2];6,[199-2][320-2][389-2];5.5,[31-2][366-2][502-2];5,[199-2][277-2][431-2];5,[40-2][289-2][311-2];5
[199-2][277-2][460-2];8,[199-2][210-2][460-2];7,[70-2][389-2][525-2];6,[31-2][366-2][552-2];6,[114-2][389-2][537-2];6,[159-2][195-2][336-2];6,[209-2][289-2][485-2];6,[320-2][389-2][425-2];5.5,[199-2][320-2][389-2];5.5,[31-2][366-2][502-2];5
[199-2][277-2][460-2];8,[199-2][210-2][460-2];7,[70-2][389-2][525-2];6,[31-2][366-2][552-2];6,[159-2][195-2][336-2];6,[114-2][389-2][537-2];6,[209-2][289-2][485-2];6,[320-2][389-2][425-2];5.5,[199-2][320-2][389-2];5.5,[31-2][366-2][502-2];5
[320-2][389-2][460-2];9,[199-2][277-2][460-2];8,[199-2][210-2][460-2];7,[159-2][195-2][336-2];6,[114-2][389-2][537-2];6,[31-2][366-2][552-2];6,[70-2][389-2][525-2];6,[209-2][289-2][485-2];6,[320-2][389-2][425-2];5.5,[199-2][320-2][389-2];5.5
[320-2][389-2][460-2];9,[199-2][277-2][460-2];8,[199-2][210-2][460-2];7,[159-2][195-2][336-2];6,[114-2][389-2][537-2];6,[70-2][389-2][525-2];6,[31-2][366-2][552-2];6,[209-2][289-2][485-2];6,[320-2][389-2][425-2];5.5,[199-2][320-2][389-2];5.5
[320-2][389-2][460-2];9,[199-2][277-2][460-2];8,[199-2][210-2][460-2];7,[209-2][289-2][485-2];6,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[114-2][389-2][537-2];6,[70-2][389-2][525-2];6,[320-2][389-2][425-2];5.5,[199-2][320-2][389-2];5.5
[320-2][389-2][460-2];9,[199-2][277-2][460-2];8,[199-2][210-2][460-2];7,[31-2][366-2][552-2];6,[159-2][195-2][336-2];6,[70-2][389-2][525-2];6,[209-2][289-2][485-2];6,[114-2][389-2][537-2];6,[320-2][389-2][425-2];5.5,[199-2][320-2][389-2];5.5
[320-2][389-2][460-2];9,[199-2][277-2][460-2];8,[199-2][210-2][460-2];7,[209-2][289-2][485-2];6,[159-2][195-2][336-2];6,[31-2][366-2][552-2];6,[70-2][389-2][525-2];6,[114-2][389-2][537-2];6,[31-2][320-2][460-2];6,[199-2][320-2][389-2];5.5
[320-2][389-2][460-2];9,[199-2][277-2][460-2];8,[199-2][210-2][460-2];7,[31-2][320-2][460-2];6,[114-2][389-2][537-2];6,[209-2][289-2][485-2];6,[31-2][366-2][552-2];6,[70-2][389-2][525-2];6,[149-2][320-2][389-2];6,[159-2][195-2][336-2];6
