[43-2][338-2][437-2][573-2];4,[38-2][76-2][280-2][493-2];3,[66-2][356-2][476-2][517-2];3,[215-2][360-2][398-2][433-2];3,[87-2][131-2][155-2][320-2];2,[247-2][435-2][475-2][572-2];2,[115-2][280-2][447-2][509-2];2,[2-2][31-2][69-2][577-2];2,[21-2][60-2][204-2][227-2];2,[26-2][162-2][427-2][458-2];2,[434-2][456-2][492-2][567-2];2,[185-2][483-2][498-2][572-2];2,[169-2][320-2][365-2][463-2];2,[54-2][204-2][289-2][357-2];2
[171-2][260-2][338-2][572-2];6,[116-2][171-2][260-2][572-2];6,[204-2][425-2][489-2][545-2];5,[153-2][215-2][445-2][572-2];4,[43-2][277-2][338-2][573-2];4,[76-2][201-2][280-2][458-2];4,[43-2][338-2][437-2][573-2];4,[83-2][115-2][116-2][425-2];4,[76-2][277-2][347-2][501-2];4,[66-2][360-2][398-2][433-2];4,[43-2][271-2][338-2][446-2];3,[215-2][270-2][437-2][487-2];3,[43-2][226-2][277-2][369-2];3,[171-2][351-2][375-2][397-2];3
[116-2][171-2][260-2][572-2];6,[171-2][260-2][338-2][572-2];6,[204-2][425-2][489-2][545-2];5,[83-2][115-2][116-2][425-2];4,[43-2][338-2][437-2][573-2];4,[76-2][201-2][280-2][458-2];4,[43-2][277-2][338-2][573-2];4,[153-2][215-2][445-2][572-2];4,[76-2][277-2][347-2][501-2];4,[198-2][201-2][320-2][573-2];4,[66-2][360-2][398-2][433-2];4,[38-2][76-2][280-2][493-2];3,[43-2][271-2][338-2][446-2];3,[43-2][226-2][277-2][369-2];3
[171-2][260-2][338-2][572-2];6,[116-2][171-2][260-2][572-2];6,[204-2][425-2][489-2][545-2];5,[76-2][201-2][280-2][458-2];4,[43-2][338-2][437-2][573-2];4,[66-2][360-2][398-2][433-2];4,[83-2][115-2][116-2][425-2];4,[153-2][215-2][445-2][572-2];4,[43-2][277-2][338-2][573-2];4,[76-2][277-2][347-2][501-2];4,[198-2][201-2][320-2][573-2];4,[116-2][171-2][338-2][425-2];4,[171-2][351-2][375-2][397-2];3,[43-2][271-2][338-2][446-2];3
[171-2][260-2][338-2][572-2];6,[116-2][171-2][260-2][572-2];6,[204-2][425-2][489-2][545-2];5,[43-2][141-2][433-2][573-2];4,[43-2][338-2][437-2][573-2];4,[66-2][360-2][398-2][433-2];4,[43-2][277-2][338-2][573-2];4,[153-2][215-2][445-2][572-2];4,[76-2][201-2][280-2][458-2];4,[116-2][171-2][338-2][425-2];4,[76-2][277-2][347-2][501-2];4,[43-2][247-2][338-2][501-2];4,[83-2][115-2][116-2][425-2];4,[198-2][201-2][320-2][573-2];4
[171-2][260-2][338-2][572-2];6,[116-2][171-2][260-2][572-2];6,[204-2][425-2][489-2][545-2];5,[153-2][215-2][425-2][445-2];5,[29-2][215-2][271-2][446-2];5,[61-2][277-2][347-2][400-2];5,[76-2][201-2][280-2][458-2];4,[43-2][277-2][338-2][573-2];4,[43-2][141-2][433-2][573-2];4,[116-2][171-2][338-2][425-2];4,[76-2][277-2][347-2][501-2];4,[43-2][171-2][338-2][446-2];4,[43-2][338-2][437-2][573-2];4,[198-2][201-2][320-2][573-2];4
[171-2][201-2][338-2][572-2];7,[171-2][260-2][338-2][572-2];6,[116-2][171-2][260-2][572-2];6,[153-2][215-2][425-2][445-2];5,[29-2][215-2][271-2][446-2];5,[47-2][198-2][320-2][573-2];5,[204-2][425-2][489-2][545-2];5,[61-2][277-2][347-2][400-2];5,[43-2][141-2][433-2][573-2];4,[43-2][171-2][338-2][501-2];4,[83-2][115-2][116-2][425-2];4,[43-2][338-2][437-2][509-2];4,[43-2][338-2][437-2][573-2];4,[76-2][201-2][280-2][458-2];4
[171-2][201-2][338-2][572-2];7,[171-2][260-2][338-2][572-2];6,[116-2][171-2][260-2][572-2];6,[61-2][277-2][347-2][400-2];5,[47-2][198-2][320-2][573-2];5,[204-2][425-2][489-2][545-2];5,[153-2][215-2][425-2][445-2];5,[29-2][215-2][271-2][446-2];5,[153-2][215-2][445-2][572-2];4,[76-2][201-2][280-2][458-2];4,[43-2][247-2][338-2][501-2];4,[43-2][141-2][433-2][573-2];4,[43-2][171-2][338-2][501-2];4,[31-2][101-2][280-2][458-2];4
[171-2][201-2][338-2][572-2];7,[171-2][260-2][338-2][572-2];6,[116-2][171-2][260-2][572-2];6,[47-2][198-2][320-2][573-2];5,[61-2][277-2][347-2][400-2];5,[29-2][215-2][271-2][446-2];5,[204-2][425-2][489-2][545-2];5,[153-2][215-2][425-2][445-2];5,[61-2][277-2][296-2][347-2];5,[43-2][171-2][338-2][446-2];4,[83-2][115-2][116-2][425-2];4,[76-2][277-2][347-2][501-2];4,[153-2][215-2][445-2][572-2];4,[76-2][201-2][280-2][458-2];4
[171-2][201-2][338-2][572-2];7,[171-2][260-2][338-2][572-2];6,[116-2][171-2][260-2][572-2];6,[204-2][425-2][489-2][545-2];5,[29-2][215-2][271-2][446-2];5,[61-2][277-2][296-2][347-2];5,[47-2][198-2][320-2][573-2];5,[17-2][171-2][445-2][573-2];5,[153-2][215-2][425-2][445-2];5,[61-2][277-2][347-2][400-2];5,[43-2][141-2][433-2][573-2];4,[31-2][101-2][280-2][458-2];4,[76-2][201-2][280-2][458-2];4,[76-2][277-2][347-2][501-2];4
[171-2][201-2][338-2][572-2];7,[116-2][171-2][260-2][572-2];6,[171-2][260-2][338-2][572-2];6,[61-2][277-2][296-2][347-2];5,[47-2][198-2][320-2][573-2];5,[17-2][171-2][445-2][573-2];5,[153-2][215-2][425-2][445-2];5,[204-2][425-2][489-2][545-2];5,[61-2][277-2][347-2][400-2];5,[29-2][215-2][271-2][446-2];5,[83-2][115-2][116-2][425-2];4,[76-2][201-2][280-2][458-2];4,[43-2][338-2][437-2][509-2];4,[43-2][338-2][437-2][573-2];4
