TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 30,Top
184,9,-6.99999968708,1.18158531189,0.0289102108676,4711,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
205,9,-4.99999992549,1.57141387463,0.0255398615161,4786,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
217,9,-5.99999982119,1.29707837105,0.02868275247,4737,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
230,9,-6.99999968708,1.24848854542,0.0292268416609,4736,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5815-2][7499-2][7954-2][17240-2][18960-2][20441-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
251,9,-4.99999992549,1.61035573483,0.0261517367423,4750,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5815-2][7499-2][7954-2][17240-2][18960-2][20441-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
264,9,-5.99999982119,1.3499776125,0.0285921498946,4694,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5815-2][7499-2][7954-2][17240-2][18960-2][20441-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
277,9,-5.99999982119,1.23943519592,0.0293593102231,4716,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5815-2][7499-2][7954-2][17240-2][18960-2][20441-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
298,9,-8.99999993294,1.58043658733,0.0266656523894,4767,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
311,9,-6.99999968708,1.22808599472,0.0294099124746,4731,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5752-2][9072-2][9073-2][11367-2][17296-2][18442-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
324,9,-6.99999968708,1.19672608376,0.0293458254051,4738,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5752-2][9072-2][9073-2][11367-2][17296-2][18442-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
345,9,-4.99999992549,1.57990717888,0.0259000354315,4804,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5752-2][9072-2][9073-2][11367-2][17296-2][18442-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
357,9,-5.99999982119,1.31714761257,0.0292490921463,4716,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5752-2][9072-2][9073-2][11367-2][17296-2][18442-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
370,9,-5.99999982119,1.20227622986,0.0301312358666,4737,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[2570-2][5815-2][7499-2][7954-2][17240-2][18960-2][20441-2];8;7;0;,[1171-2][10962-2][12021-2][13062-2][14143-2][15871-2][20422-2];8;7;0;
