TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
0,253.951774743,5.09522863422,113.975624084,1.97335292445,426,-1[149-2][264-2][320-2];5251.98097041,[48-2][363-2][463-2][516-2];253.951774743,[184-2][320-2][373-2][401-2];253.294906817,[66-2][141-2][181-2][533-2];247.491123525
1,4067.72348209,30.7165044241,1423.13085938,32.7791727561,356,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2][543-2];4067.72348209,[176-2][264-2][320-2][332-2];3770.66394255,[218-2][264-2][320-2][537-2];3501.88304252
1,4067.72348209,5.23585159384,1519.07971191,32.3182371919,346,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2][543-2];4067.72348209,[176-2][264-2][320-2][332-2];3770.66394255,[218-2][264-2][320-2][537-2];3501.88304252
1,4067.72348209,69.6392106046,1641.48901367,23.6848189026,349,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2][543-2];4067.72348209,[176-2][264-2][320-2][575-2];3791.79334171,[176-2][264-2][320-2][332-2];3770.66394255
1,4590.21434187,8.35730644611,1814.28320313,31.4454444785,347,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][537-2];4590.21434187,[176-2][264-2][320-2][365-2];4427.42513249,[264-2][320-2][461-2][575-2];4091.4866815
1,6687.89310021,27.2907089055,1912.21203613,27.9239482089,349,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][320-2][369-2];4789.41148071,[176-2][264-2][320-2][537-2];4590.21434187
1,6687.89310021,45.7083405143,2088.40698242,49.6595243216,335,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][320-2][369-2];4789.41148071,[37-2][246-2][264-2][320-2];4709.28250457
1,6687.89310021,1.23303355233,2271.46313477,50.0933530611,324,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][320-2][371-2];6376.27857119,[176-2][264-2][320-2][369-2];4789.41148071
2,6687.89310021,25.2150403675,2413.68334961,56.7855342807,317,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][320-2][371-2];6376.27857119,[176-2][264-2][320-2][369-2];4789.41148071
2,6687.89310021,51.3643794477,2765.88354492,56.1835678212,277,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][320-2][371-2];6376.27857119,[176-2][264-2][320-2][369-2];4789.41148071
2,6687.89310021,32.2466541347,3070.01025391,60.3941920684,252,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][320-2][371-2];6376.27857119,[37-2][176-2][264-2][320-2];4909.17209368
