TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
0,1333.54285958,32.002040556,462.464111328,5.06750020292,668,-1[149-2][264-2][320-2];5251.98097041,[54-2][87-2][384-2][389-2][400-2][544-2];1333.54285958,[101-2][264-2][320-2][347-2][394-2][401-2];1316.4086824,[47-2][204-2][234-2][350-2][483-2][578-2];1203.34513112
2,1800.17805395,53.359899141,1104.69042969,10.4500926077,657,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[38-2][92-2][190-2][191-2][342-2][441-2];1633.78524319,[87-2][139-2][154-2][320-2][447-2][448-2];1627.7342829
2,1800.17805395,112.455484417,1099.41943359,6.98477550915,647,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28471082,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29231518
2,1800.17805395,97.033867493,1112.84985352,7.67914176672,647,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28471082,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29231518
2,1800.17805395,290.408303162,1139.69067383,9.51566592535,654,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[87-2][139-2][154-2][320-2][415-2][441-2];1717.14618978,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28471082
2,1800.17805395,170.569326227,1156.93664551,8.85266290132,648,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[87-2][139-2][154-2][320-2][415-2][441-2];1717.14618978,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28471082
2,1800.17805395,181.803610364,1148.4473877,6.33549159579,645,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14360416,[87-2][139-2][154-2][320-2][415-2][441-2];1717.14618978
2,1800.17805395,267.243212695,1136.3782959,9.49448701745,660,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14360416,[87-2][139-2][154-2][320-2][415-2][441-2];1717.14618978
3,1800.17805395,148.001761142,1155.94226074,8.01853212132,651,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14360416,[87-2][139-2][154-2][320-2][415-2][441-2];1717.14618978
3,1857.58005794,148.846417734,1149.67138672,9.21573193785,658,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14360416
3,1857.58005794,203.063627626,1176.4362793,6.50677487246,650,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14360416
