[54-2][87-2][384-2][389-2][400-2][544-2];1333.54,[101-2][264-2][320-2][347-2][394-2][401-2];1316.41,[47-2][204-2][234-2][350-2][483-2][578-2];1203.35,[47-2][204-2][234-2][350-2][483-2][516-2];1189.38,[36-2][68-2][364-2][398-2][408-2][516-2];1173.27,[117-2][190-2][191-2][305-2][342-2][430-2];1158.74,[154-2][224-2][328-2][351-2][455-2][509-2];1157.55,[36-2][60-2][73-2][166-2][437-2][578-2];1150.54,[54-2][165-2][252-2][316-2][364-2][434-2];1117.25,[29-2][73-2][159-2][166-2][437-2][578-2];1090.04,[32-2][106-2][169-2][384-2][493-2][571-2];1066.01,[47-2][169-2][234-2][350-2][483-2][516-2];1063.58,[139-2][271-2][295-2][335-2][437-2][559-2];1062.99,[101-2][264-2][320-2][401-2][506-2][557-2];1051.52,[139-2][271-2][295-2][335-2][347-2][437-2];1042.15,[72-2][116-2][139-2][312-2][559-2][577-2];1032.7,[36-2][60-2][73-2][166-2][437-2][557-2];1030.21,[17-2][175-2][193-2][309-2][336-2][509-2];1010.59,[117-2][180-2][335-2][342-2][430-2][507-2];999.071,[25-2][180-2][181-2][204-2][254-2][467-2];991.525,[106-2][336-2][339-2][355-2][373-2][519-2];987.429
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73,[198-2][264-2][320-2][371-2][461-2][494-2];1625.77,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[116-2][182-2][384-2][437-2][447-2][509-2];1618.28,[38-2][97-2][320-2][364-2][415-2][430-2];1610.75,[81-2][183-2][264-2][320-2][394-2][516-2];1610.25,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23,[214-2][264-2][320-2][499-2][536-2][563-2];1598.18,[117-2][171-2][234-2][320-2][430-2][437-2];1580.58,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[21-2][101-2][204-2][320-2][514-2][551-2];1564.44,[21-2][154-2][190-2][235-2][389-2][441-2];1563.11,[38-2][165-2][291-2][342-2][433-2][473-2];1562.17,[47-2][204-2][234-2][398-2][514-2][551-2];1556.69,[87-2][101-2][204-2][320-2][404-2][435-2];1553.51,[29-2][181-2][184-2][355-2][402-2][577-2];1550.72,[139-2][154-2][300-2][355-2][437-2][577-2];1547.94,[116-2][139-2][273-2][401-2][433-2][448-2];1545.14
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73,[198-2][264-2][320-2][371-2][461-2][494-2];1625.77,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[116-2][182-2][384-2][437-2][447-2][509-2];1618.28,[38-2][97-2][320-2][364-2][415-2][430-2];1610.75,[81-2][183-2][264-2][320-2][394-2][516-2];1610.25,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23,[214-2][264-2][320-2][499-2][536-2][563-2];1598.18,[116-2][181-2][364-2][401-2][433-2][577-2];1597.85,[117-2][171-2][234-2][320-2][430-2][437-2];1580.58,[9-2][20-2][320-2][342-2][433-2][473-2];1579.45,[38-2][165-2][291-2][342-2][433-2][447-2];1568.11,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57,[21-2][101-2][204-2][320-2][514-2][551-2];1564.44,[21-2][154-2][190-2][235-2][389-2][441-2];1563.11
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[38-2][165-2][182-2][291-2][314-2][573-2];1628.81,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73,[198-2][264-2][320-2][371-2][461-2][494-2];1625.77,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[116-2][182-2][384-2][437-2][447-2][509-2];1618.28,[38-2][97-2][320-2][364-2][415-2][430-2];1610.75,[81-2][183-2][264-2][320-2][394-2][516-2];1610.25,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23,[214-2][264-2][320-2][499-2][536-2][563-2];1598.18,[116-2][181-2][364-2][401-2][433-2][577-2];1597.85,[116-2][209-2][364-2][401-2][433-2][509-2];1597.72,[117-2][171-2][234-2][320-2][430-2][437-2];1580.58,[9-2][20-2][320-2][342-2][433-2][473-2];1579.45,[94-2][204-2][320-2][433-2][437-2][577-2];1577.81,[38-2][165-2][291-2][342-2][433-2][447-2];1568.11
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[87-2][139-2][154-2][320-2][415-2][441-2];1717.15,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[38-2][165-2][182-2][291-2][314-2][573-2];1628.81,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73,[198-2][264-2][320-2][371-2][461-2][494-2];1625.77,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[116-2][182-2][384-2][437-2][447-2][509-2];1618.28,[38-2][97-2][320-2][364-2][415-2][430-2];1610.75,[81-2][183-2][264-2][320-2][394-2][516-2];1610.25,[87-2][139-2][384-2][385-2][389-2][441-2];1600.24,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23,[214-2][264-2][320-2][499-2][536-2][563-2];1598.18,[116-2][181-2][364-2][401-2][433-2][577-2];1597.85,[116-2][209-2][364-2][401-2][433-2][509-2];1597.72,[94-2][204-2][320-2][404-2][433-2][509-2];1585.62,[117-2][171-2][234-2][320-2][430-2][437-2];1580.58
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[87-2][139-2][154-2][320-2][415-2][441-2];1717.15,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[43-2][182-2][320-2][384-2][385-2][415-2];1675.56,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[87-2][139-2][154-2][320-2][447-2][509-2];1644.05,[106-2][116-2][139-2][320-2][387-2][573-2];1639.15,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[116-2][149-2][364-2][401-2][433-2][577-2];1632.42,[38-2][165-2][182-2][291-2][314-2][573-2];1628.81,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73,[198-2][264-2][320-2][371-2][461-2][494-2];1625.77,[38-2][165-2][182-2][291-2][364-2][577-2];1624.16,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[116-2][182-2][384-2][437-2][447-2][509-2];1618.28,[38-2][97-2][320-2][364-2][415-2][430-2];1610.75,[81-2][183-2][264-2][320-2][394-2][516-2];1610.25,[87-2][139-2][384-2][385-2][389-2][441-2];1600.24,[29-2][181-2][184-2][355-2][430-2][573-2];1600.23
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14,[87-2][139-2][154-2][320-2][415-2][441-2];1717.15,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[43-2][182-2][320-2][384-2][385-2][415-2];1675.56,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[87-2][139-2][154-2][320-2][422-2][551-2];1649.93,[87-2][139-2][154-2][320-2][447-2][509-2];1644.05,[106-2][116-2][139-2][320-2][387-2][573-2];1639.15,[139-2][154-2][168-2][384-2][436-2][509-2];1636.43,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[116-2][149-2][364-2][401-2][433-2][577-2];1632.42,[38-2][165-2][182-2][291-2][314-2][573-2];1628.81,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73,[198-2][264-2][320-2][371-2][461-2][494-2];1625.77,[38-2][165-2][182-2][291-2][364-2][577-2];1624.16,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1,[116-2][182-2][384-2][437-2][447-2][509-2];1618.28,[38-2][138-2][165-2][182-2][291-2][577-2];1617.62
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14,[87-2][139-2][154-2][320-2][415-2][441-2];1717.15,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[38-2][138-2][165-2][182-2][320-2][509-2];1679.04,[43-2][182-2][320-2][384-2][385-2][415-2];1675.56,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[87-2][139-2][154-2][320-2][422-2][551-2];1649.93,[87-2][139-2][154-2][320-2][447-2][509-2];1644.05,[165-2][231-2][291-2][320-2][404-2][433-2];1640.54,[106-2][116-2][139-2][320-2][387-2][573-2];1639.15,[139-2][154-2][168-2][384-2][436-2][509-2];1636.43,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[116-2][149-2][364-2][401-2][433-2][577-2];1632.42,[38-2][165-2][182-2][291-2][314-2][573-2];1628.81,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73,[198-2][264-2][320-2][371-2][461-2][494-2];1625.77,[38-2][165-2][182-2][291-2][364-2][577-2];1624.16,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[43-2][87-2][384-2][385-2][389-2][441-2];1619.1
[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14,[87-2][139-2][154-2][320-2][415-2][441-2];1717.15,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[38-2][138-2][165-2][182-2][320-2][509-2];1679.04,[43-2][182-2][320-2][384-2][385-2][415-2];1675.56,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[87-2][139-2][154-2][320-2][422-2][551-2];1649.93,[87-2][139-2][154-2][320-2][447-2][509-2];1644.05,[165-2][231-2][291-2][320-2][404-2][433-2];1640.54,[106-2][116-2][139-2][320-2][387-2][573-2];1639.15,[139-2][154-2][168-2][384-2][436-2][509-2];1636.43,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[116-2][149-2][364-2][401-2][433-2][577-2];1632.42,[38-2][165-2][182-2][291-2][314-2][573-2];1628.81,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73,[198-2][264-2][320-2][371-2][461-2][494-2];1625.77,[38-2][165-2][182-2][291-2][364-2][577-2];1624.16,[198-2][264-2][267-2][320-2][371-2][461-2];1620.86,[171-2][300-2][320-2][342-2][384-2][551-2];1619.81
[139-2][165-2][171-2][387-2][404-2][441-2];1857.58,[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14,[87-2][139-2][154-2][320-2][415-2][441-2];1717.15,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[38-2][138-2][165-2][182-2][320-2][509-2];1679.04,[43-2][182-2][320-2][384-2][385-2][415-2];1675.56,[47-2][139-2][182-2][291-2][320-2][387-2];1667.72,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[38-2][154-2][171-2][182-2][433-2][577-2];1653.23,[87-2][139-2][154-2][320-2][422-2][551-2];1649.93,[87-2][139-2][154-2][320-2][447-2][509-2];1644.05,[165-2][231-2][291-2][320-2][404-2][433-2];1640.54,[106-2][116-2][139-2][320-2][387-2][573-2];1639.15,[116-2][196-2][320-2][384-2][514-2][577-2];1637.2,[139-2][154-2][168-2][384-2][436-2][509-2];1636.43,[38-2][92-2][190-2][191-2][342-2][441-2];1633.79,[116-2][149-2][364-2][401-2][433-2][577-2];1632.42,[38-2][165-2][182-2][291-2][314-2][573-2];1628.81,[87-2][139-2][154-2][320-2][447-2][448-2];1627.73
[139-2][165-2][171-2][387-2][404-2][441-2];1857.58,[83-2][139-2][415-2][437-2][514-2][551-2];1800.18,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14,[116-2][196-2][320-2][384-2][437-2][514-2];1730.52,[87-2][139-2][154-2][320-2][415-2][441-2];1717.15,[43-2][182-2][320-2][384-2][385-2][551-2];1706.13,[171-2][320-2][385-2][422-2][441-2][448-2];1698.28,[38-2][138-2][165-2][182-2][320-2][509-2];1679.04,[43-2][182-2][320-2][384-2][385-2][415-2];1675.56,[47-2][139-2][182-2][291-2][320-2][387-2];1667.72,[38-2][139-2][154-2][387-2][404-2][441-2];1667.13,[87-2][139-2][154-2][320-2][404-2][441-2];1665.41,[87-2][139-2][154-2][235-2][404-2][441-2];1662.29,[198-2][264-2][267-2][320-2][371-2][548-2];1660.85,[38-2][154-2][171-2][182-2][433-2][577-2];1653.23,[87-2][139-2][154-2][320-2][422-2][551-2];1649.93,[38-2][139-2][154-2][437-2][441-2][455-2];1646.08,[87-2][139-2][154-2][320-2][447-2][509-2];1644.05,[165-2][231-2][291-2][320-2][404-2][433-2];1640.54,[106-2][116-2][139-2][320-2][387-2][573-2];1639.15,[116-2][196-2][320-2][384-2][514-2][577-2];1637.2
