TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98,Top
0,114.708182325,0.488258606982,88.6965103149,0.991260481211,74,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063
0,114.708182325,0.387323695289,91.1430053711,1.46599657273,73,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063
0,114.708182325,0.488258606982,90.7940750122,1.04931935126,77,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[306-2][363-2];108.782451619
0,114.708182325,0.488258606982,92.8211212158,1.27369316107,76,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[306-2][363-2];108.782451619
0,114.708182325,1.80049636738,95.5030517578,1.23735324787,59,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[306-2][363-2];108.782451619
0,114.708182325,1.80049636738,94.5992507935,1.34687657245,65,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[306-2][363-2];108.782451619
0,114.708182325,1.80049636738,96.6518478394,0.840624345942,54,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[306-2][363-2];108.782451619
0,114.708182325,1.38958316317,98.3512878418,1.41768815064,53,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[306-2][363-2];108.782451619
0,114.708182325,1.13760856351,98.922454834,1.28666498879,53,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527,[306-2][363-2];108.782451619
0,118.554746425,0,102.154151917,0.894435750097,49,-1[149-2][264-2][320-2];5251.98097041,[264-2][363-2];118.554746425,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,154.238904487,2.16985467803,102.756141663,1.13340974201,45,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425,[320-2][363-2];114.708182325
0,154.238904487,0.488258606982,103.230560303,1.29060119533,47,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425,[320-2][363-2];114.708182325
0,154.238904487,6.49630132851,104.677124023,0.798426976471,45,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425,[320-2][363-2];114.708182325
0,1752.98632505,3.33037730045,107.358055115,7.27278682512,59,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425
0,1752.98632505,3.33037730045,176.696044922,20.9599685886,66,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425
0,1752.98632505,1.24203798604,729.218261719,30.4358286104,64,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425
0,1752.98632505,1.24203798604,1470.26696777,21.030338732,29,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425
0,1752.98632505,9.204561082,1491.8067627,18.0388263411,33,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425
0,1752.98632505,65.4774725029,1557.70068359,32.383043324,26,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425
0,1752.98632505,14.2523405176,1557.07458496,19.2017893124,26,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][363-2];118.554746425
