[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][220-2][264-2][320-2];5251.98,[149-2][197-2][264-2][320-2];5251.98,[88-2][149-2][264-2][320-2];5134.26,[149-2][264-2][320-2][324-2];4680.32,[149-2][264-2][320-2][371-2];4617.55,[149-2][264-2][320-2][480-2];4565.95,[27-2][149-2][264-2][320-2];4260.44,[149-2][264-2][320-2][391-2];4198.32,[149-2][264-2][320-2][428-2];3833.59
[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][320-2][432-2];5251.98,[149-2][220-2][264-2][320-2];5251.98,[149-2][264-2][320-2][569-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][197-2][264-2][320-2];5251.98,[88-2][149-2][264-2][320-2];5134.26,[149-2][264-2][320-2][324-2];4680.32,[149-2][264-2][320-2][542-2];4660.94,[102-2][149-2][264-2][320-2];4646.49,[149-2][264-2][320-2][371-2];4617.55,[149-2][264-2][320-2][480-2];4565.95
[149-2][264-2][320-2][452-2];5280.99,[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][320-2][569-2];5251.98,[149-2][220-2][264-2][320-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][264-2][320-2][486-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[149-2][197-2][264-2][320-2];5251.98,[149-2][174-2][264-2][320-2];5251.98,[88-2][149-2][264-2][320-2];5134.26,[110-2][149-2][264-2][320-2];4871.51,[149-2][264-2][320-2][324-2];4680.32
[149-2][264-2][320-2][452-2];5280.99,[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[75-2][149-2][264-2][320-2];5251.98,[149-2][264-2][320-2][569-2];5251.98,[149-2][220-2][264-2][320-2];5251.98,[149-2][264-2][302-2][320-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][264-2][320-2][486-2];5251.98,[149-2][197-2][264-2][320-2];5251.98,[149-2][174-2][264-2][320-2];5251.98,[149-2][264-2][301-2][320-2];5251.98
[149-2][264-2][320-2][452-2];5280.99,[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][283-2][320-2];5251.98,[149-2][264-2][320-2][486-2];5251.98,[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][320-2][569-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[149-2][220-2][264-2][320-2];5251.98,[149-2][197-2][264-2][320-2];5251.98,[95-2][149-2][264-2][320-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][264-2][320-2][558-2];5251.98,[149-2][264-2][301-2][320-2];5251.98
[149-2][264-2][320-2][452-2];5280.99,[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][302-2][320-2];5251.98,[149-2][220-2][264-2][320-2];5251.98,[149-2][264-2][283-2][320-2];5251.98,[149-2][264-2][320-2][486-2];5251.98,[149-2][264-2][320-2][569-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[149-2][197-2][264-2][320-2];5251.98,[95-2][149-2][264-2][320-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][264-2][320-2][499-2];5251.98
[149-2][264-2][320-2][452-2];5280.99,[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][301-2][320-2];5251.98,[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[149-2][264-2][320-2][486-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][264-2][320-2][454-2];5251.98,[149-2][264-2][320-2][569-2];5251.98,[149-2][264-2][299-2][320-2];5251.98,[149-2][264-2][320-2][426-2];5251.98,[149-2][264-2][320-2][344-2];5251.98,[23-2][149-2][264-2][320-2];5251.98
[149-2][264-2][320-2][452-2];5280.99,[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][197-2][264-2][320-2];5251.98,[149-2][264-2][320-2][499-2];5251.98,[149-2][264-2][320-2][569-2];5251.98,[149-2][264-2][301-2][320-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[149-2][264-2][320-2][486-2];5251.98,[149-2][264-2][320-2][454-2];5251.98,[149-2][264-2][299-2][320-2];5251.98,[149-2][264-2][320-2][426-2];5251.98
[149-2][264-2][320-2][452-2];5280.99,[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][320-2][569-2];5251.98,[149-2][264-2][320-2][432-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][264-2][320-2][486-2];5251.98,[148-2][149-2][264-2][320-2];5251.98,[23-2][149-2][264-2][320-2];5251.98,[149-2][264-2][320-2][344-2];5251.98,[149-2][264-2][320-2][396-2];5251.98,[34-2][149-2][264-2][320-2];5251.98,[149-2][264-2][320-2][490-2];5251.98,[3-2][149-2][264-2][320-2];5251.98
[149-2][264-2][320-2][452-2];5280.99,[149-2][172-2][264-2][320-2];5277.91,[149-2][264-2][320-2][575-2];5271.54,[149-2][264-2][320-2][432-2];5251.98,[23-2][149-2][264-2][320-2];5251.98,[149-2][264-2][320-2][486-2];5251.98,[3-2][149-2][264-2][320-2];5251.98,[149-2][264-2][298-2][320-2];5251.98,[149-2][264-2][320-2][569-2];5251.98,[149-2][264-2][320-2][518-2];5251.98,[142-2][149-2][264-2][320-2];5251.98,[149-2][264-2][320-2][490-2];5251.98,[149-2][264-2][299-2][320-2];5251.98,[149-2][264-2][320-2][499-2];5251.98
