[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][495-2];96.3716
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[363-2][178-2];57.6953
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][417-2];101.187
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[320-2][363-2];114.708,[264-2][439-2];92.9738
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][572-2];121.377,[264-2][363-2];118.555,[58-2][264-2];116.93,[320-2][363-2];114.708
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[264-2][572-2];121.377,[264-2][363-2];118.555,[264-2][504-2];117.874
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[264-2][572-2];121.377,[264-2][363-2];118.555,[264-2][557-2];101.63
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[264-2][572-2];121.377,[264-2][363-2];118.555,[264-2][557-2];101.63
[264-2][320-2];1752.99,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[264-2][572-2];121.377,[264-2][363-2];118.555,[9-2][264-2];101.8
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[264-2][572-2];121.377,[264-2][363-2];118.555
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[264-2][572-2];121.377,[320-2][467-2];92.6133
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[264-2][572-2];121.377
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[264-2][437-2];105.371
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[233-2][264-2];111.733
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[139-2][264-2];100.28
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[264-2][284-2];92.9854
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[264-2][305-2];113.21
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[264-2][383-2];107.116
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[320-2][384-2];94.6395
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[185-2][264-2];102.672
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[264-2][403-2];101.717
[264-2][320-2];1752.99,[82-2][264-2];168.641,[149-2][320-2];154.239,[264-2][325-2];143.301,[264-2][392-2];126.42,[21-2][264-2];124.031,[139-2][248-2];33.8892
[229-2][320-2];75.566,[306-2][320-2];74.2371,[269-2][320-2];69.9613,[320-2][523-2];69.7121,[245-2][452-2];38.0866,[43-2][136-2];35.5924,[17-2][60-2];34.4629
[58-2][320-2];92.5993,[43-2][320-2];89.0843,[289-2][320-2];82.1022,[17-2][320-2];79.5749,[176-2][320-2];78.9332,[72-2][320-2];76.3743,[229-2][320-2];75.566
[245-2][320-2];105.462,[58-2][320-2];92.5993,[175-2][320-2];90.7316,[43-2][320-2];89.0843,[139-2][320-2];87.7774,[214-2][320-2];86.4152,[117-2][320-2];84.0882
[320-2][376-2];113.932,[245-2][320-2];105.462,[305-2][320-2];100.681,[58-2][320-2];92.5993,[175-2][320-2];90.7316,[320-2][538-2];89.3486,[43-2][320-2];89.0843
[320-2][376-2];113.932,[245-2][320-2];105.462,[305-2][320-2];100.681,[58-2][320-2];92.5993,[320-2][548-2];92.121,[175-2][320-2];90.7316,[320-2][538-2];89.3486
[320-2][376-2];113.932,[245-2][320-2];105.462,[305-2][320-2];100.681,[131-2][320-2];97.7946,[320-2][464-2];92.9511,[320-2][467-2];92.6133,[58-2][320-2];92.5993
[320-2][376-2];113.932,[245-2][320-2];105.462,[305-2][320-2];100.681,[131-2][320-2];97.7946,[320-2][464-2];92.9511,[320-2][467-2];92.6133,[58-2][320-2];92.5993
[320-2][376-2];113.932,[245-2][320-2];105.462,[305-2][320-2];100.681,[131-2][320-2];97.7946,[320-2][513-2];95.7137,[320-2][464-2];92.9511,[320-2][467-2];92.6133
[320-2][376-2];113.932,[245-2][320-2];105.462,[305-2][320-2];100.681,[131-2][320-2];97.7946,[320-2][513-2];95.7137,[320-2][384-2];94.6395,[320-2][464-2];92.9511
