TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
0,1423.9102456,0.286491782114,55.1341667175,2.80973346949,312,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][416-2];1423.9102456,[149-2][264-2][435-2];932.797113259,[221-2][264-2][416-2];170.055250773
0,1644.67405098,0.286491782114,159.294876099,14.652571685,278,-1[149-2][264-2][320-2];5251.98097041,[251-2][264-2][320-2];1644.67405098,[264-2][320-2][364-2];1538.53890963,[70-2][264-2][320-2];1477.80033376
0,5251.98097041,0.286491782114,677.573425293,27.0044365337,212,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][381-2];2798.8362435,[264-2][320-2][405-2];2250.59649169
0,5251.98097041,0.286491782114,1139.82824707,21.6904771145,144,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][381-2];2798.8362435,[264-2][320-2][348-2];2310.0875064
0,5251.98097041,13.6690131379,1393.5098877,46.6991708863,138,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][381-2];2798.8362435,[155-2][264-2][320-2];2532.89252893
0,5251.98097041,21.4000464233,1799.37097168,40.1347678938,138,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][381-2];2798.8362435,[264-2][320-2][480-2];2681.56701848
0,5251.98097041,24.7846132446,2446.48291016,73.9305488707,145,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[37-2][264-2][320-2];2820.51783782,[264-2][320-2][381-2];2798.8362435
0,5251.98097041,34.8353644286,3118.08374023,83.2287215968,128,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[56-2][264-2][320-2];3282.69404164,[37-2][264-2][320-2];2820.51783782
0,5251.98097041,26.0897785213,3674.90649414,77.2724306867,102,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[56-2][264-2][320-2];3282.69404164,[37-2][264-2][320-2];2820.51783782
0,5251.98097041,40.3544272237,3905.65942383,55.3388106089,92,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,48.5718428346,4227.28564453,51.8546720687,75,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,62.8196911272,4468.56591797,63.3709034276,61,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,45.7158596956,4335.06152344,61.3859089081,70,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,90.4530011996,4368.83251953,44.5451278296,69,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,19.4508438739,4433.53417969,42.100053102,64,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,19.4508438739,4283.84667969,73.1072582894,72,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,42.6745482876,4307.92529297,47.8355667413,68,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,26.2430865842,4170.61425781,63.3663674399,82,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,17.3587257962,4426.07275391,51.8959884819,63,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,5251.98097041,73.3064360042,4270.15087891,55.009945535,78,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,1881.36540741,0.286491782114,56.8762016296,1.03664386266,294,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][537-2];1881.36540741,[221-2][264-2][416-2];170.055250773,[221-2][264-2][435-2];157.271702465
1,2631.72953941,0.286491782114,186.129669189,18.8596457689,278,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][544-2];2631.72953941,[264-2][320-2][537-2];1881.36540741,[264-2][320-2][490-2];1752.98632505
1,2631.72953941,0.286491782114,1003.70788574,39.1476591837,178,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][544-2];2631.72953941,[264-2][320-2][573-2];2132.42619104,[264-2][320-2][537-2];1881.36540741
1,2998.01389059,33.3941436832,1608.49841309,18.352582563,97,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][515-2];2998.01389059,[264-2][320-2][381-2];2798.8362435,[264-2][320-2][544-2];2631.72953941
1,2998.01389059,13.6690131379,1708.15515137,26.5371807665,82,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][515-2];2998.01389059,[264-2][320-2][381-2];2798.8362435,[264-2][320-2][544-2];2631.72953941
1,3003.8577093,68.6853145943,1798.98278809,16.9413280928,77,-1[149-2][264-2][320-2];5251.98097041,[264-2][279-2][320-2];3003.8577093,[264-2][320-2][515-2];2998.01389059,[264-2][320-2][381-2];2798.8362435
1,3003.8577093,75.5660046624,1725.75195313,31.0781842268,98,-1[149-2][264-2][320-2];5251.98097041,[264-2][279-2][320-2];3003.8577093,[264-2][320-2][515-2];2998.01389059,[264-2][320-2][381-2];2798.8362435
1,3282.69404164,75.5660046624,1879.29187012,20.1198993924,86,-1[149-2][264-2][320-2];5251.98097041,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093,[264-2][320-2][515-2];2998.01389059
1,3282.69404164,62.8196911272,1941.87646484,32.7787413543,80,-1[149-2][264-2][320-2];5251.98097041,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093,[264-2][320-2][515-2];2998.01389059
1,3355.51898001,62.8196911272,2017.9921875,20.215574826,86,-1[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093
1,3355.51898001,73.2371634828,2040.80712891,37.7779431236,96,-1[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093
1,3355.51898001,70.1733006778,2021.49316406,24.7673019906,105,-1[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093
1,3355.51898001,11.2928377074,2075.484375,39.1374007448,101,-1[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093
1,3355.51898001,13.1863905988,2120.43774414,35.109073662,112,-1[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093
1,3355.51898001,45.5757677186,2083.74414063,38.5987985229,116,-1[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093
1,3355.51898001,11.1656989169,2180.08862305,40.080560227,102,-1[149-2][264-2][320-2];5251.98097041,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164,[264-2][279-2][320-2];3003.8577093
1,3699.35660378,11.1656989169,2144.19165039,35.3470332267,109,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,76.5383898659,2226.11425781,39.414587571,109,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,9.04754438058,2144.40405273,26.7901101327,116,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,86.5122132051,2237.15161133,36.1744701255,107,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,5251.98097041,41.051385051,2195.35620117,27.8189760883,117,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,41.051385051,2314.95874023,30.1514534038,100,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,39.7162557258,2331.73632813,42.8873789042,104,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,14.8046199945,2361.49194336,38.7419358342,103,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,37.8677705849,2257.88696289,45.7389248697,117,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,72.2914297268,2357.70751953,50.1463162179,117,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,50.5420068904,2380.6237793,53.6531199761,126,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,18.0714929692,2378.265625,51.9836507635,137,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,54.6933360746,2549.83740234,71.1886603965,137,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
2,5251.98097041,15.0057375329,2773.08178711,90.7354999814,133,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,45.8033863188,3362.85522461,76.8441977653,122,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,54.6529902729,3675.37963867,93.1799993175,104,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,67.4800414105,3950.64208984,68.7434896719,85,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,78.84675637,4173.59619141,68.0563402638,80,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,54.6392988732,4265.46435547,46.310774702,78,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,27.2470738132,4476.56787109,69.7481917308,60,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,27.2470738132,4241.63476563,48.4138093852,76,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,14.7330035463,4404.37451172,46.4839448234,63,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,97.4591489785,4363.9453125,61.8376796009,66,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,74.0879777752,4260.81201172,73.0934116257,78,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
0,169.775937188,3.23441570285,49.7389259338,0.851653633537,306,-1[149-2][264-2][320-2];5251.98097041,[61-2][320-2][538-2];169.775937188,[109-2][136-2][264-2];130.391812332,[256-2][264-2][282-2];128.422234879
0,196.154786503,6.88757716604,63.6209182739,1.44833040107,296,-1[149-2][264-2][320-2];5251.98097041,[126-2][320-2][376-2];196.154786503,[165-2][264-2][282-2];173.83761969,[61-2][320-2][538-2];169.775937188
0,1757.46289055,6.88757716604,82.8760223389,4.98160819974,278,-1[149-2][264-2][320-2];5251.98097041,[21-2][264-2][320-2];1757.46289055,[126-2][320-2][376-2];196.154786503,[233-2][264-2][282-2];195.915840337
0,1873.81729642,1.17611808331,210.991012573,14.0203867878,266,-1[149-2][264-2][320-2];5251.98097041,[246-2][264-2][320-2];1873.81729642,[21-2][264-2][320-2];1757.46289055,[264-2][320-2][429-2];1752.98632505
0,1880.88235242,1.17611808331,850.598266602,22.0055300203,186,-1[149-2][264-2][320-2];5251.98097041,[40-2][264-2][320-2];1880.88235242,[246-2][264-2][320-2];1873.81729642,[264-2][320-2][380-2];1848.93983978
0,4067.72348209,9.54680148945,1394.83276367,19.4735254752,108,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][320-2][515-2];2998.01389059,[147-2][264-2][320-2];2631.9380002
0,4067.72348209,65.4596898822,1546.48828125,23.3802068472,86,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][320-2][515-2];2998.01389059,[147-2][264-2][320-2];2631.9380002
0,4067.72348209,6.2271246294,1555.0670166,28.7352342156,108,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,4067.72348209,1.34339501429,1551.32946777,34.4503105556,143,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,4067.72348209,1.34339501429,1601.67163086,37.9220608758,147,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,4067.72348209,24.3085162269,1723.33105469,37.6234459371,136,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
0,4067.72348209,20.9659582694,1648.88037109,43.9208787961,172,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
