TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
6,6687.89310021,27.1727429723,3854.41699219,57.2309476641,275,-1[149-2][264-2][320-2];5251.98097041,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[176-2][243-2][264-2][308-2][320-2];6369.60225594,[176-2][264-2][320-2][380-2][503-2];6253.15306625
6,6687.89310021,90.1143743352,3758.61206055,63.0589755957,301,-1[149-2][264-2][320-2];5251.98097041,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][268-2][320-2][480-2];6687.89310021,[176-2][243-2][264-2][308-2][320-2];6369.60225594
6,6687.89310021,3.98879041509,3894.37841797,54.3524260834,282,-1[149-2][264-2][320-2];5251.98097041,[176-2][250-2][264-2][320-2][480-2];6687.89310021,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][268-2][320-2][480-2];6687.89310021
6,6687.89310021,78.9331711162,3855.3503418,54.7016830497,302,-1[149-2][264-2][320-2];5251.98097041,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][268-2][320-2][480-2];6687.89310021,[176-2][250-2][264-2][320-2][480-2];6687.89310021
6,6687.89310021,54.3829503256,3700.8190918,60.5223709111,313,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][268-2][320-2][480-2];6687.89310021,[176-2][250-2][264-2][320-2][480-2];6687.89310021,[176-2][202-2][264-2][320-2][480-2];6687.89310021
6,6687.89310021,71.8019489615,3822.29541016,53.8686703645,301,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][268-2][320-2][480-2];6687.89310021,[176-2][207-2][264-2][320-2][480-2];6687.89310021,[176-2][250-2][264-2][320-2][480-2];6687.89310021
6,6687.89310021,57.2085457315,3675.2668457,70.6492604673,314,-1[149-2][264-2][320-2];5251.98097041,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[176-2][207-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][268-2][320-2][480-2];6687.89310021
6,6687.89310021,10.4698731944,3755.20336914,39.6163020696,315,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][268-2][320-2][480-2];6687.89310021,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[134-2][176-2][264-2][320-2][480-2];6687.89310021
6,6687.89310021,32.4571322168,3881.97705078,56.9112121142,292,-1[149-2][264-2][320-2];5251.98097041,[176-2][264-2][268-2][320-2][480-2];6687.89310021,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[134-2][176-2][264-2][320-2][480-2];6687.89310021
6,6687.89310021,48.2813209225,3809.30200195,72.210127633,311,-1[149-2][264-2][320-2];5251.98097041,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[176-2][194-2][264-2][320-2][480-2];6687.89310021,[100-2][176-2][264-2][320-2][480-2];6687.89310021
7,6687.89310021,29.4767318872,3609.2121582,63.1752750401,337,-1[149-2][264-2][320-2];5251.98097041,[134-2][176-2][264-2][320-2][480-2];6687.89310021,[100-2][176-2][264-2][320-2][480-2];6687.89310021,[176-2][250-2][264-2][320-2][480-2];6687.89310021
7,6687.89310021,28.9669288234,3751.49267578,59.7484003549,333,-1[149-2][264-2][320-2];5251.98097041,[100-2][176-2][264-2][320-2][480-2];6687.89310021,[134-2][176-2][264-2][320-2][480-2];6687.89310021,[176-2][194-2][264-2][320-2][480-2];6687.89310021
7,6687.89310021,62.8196911272,3711.72363281,63.874915759,340,-1[149-2][264-2][320-2];5251.98097041,[42-2][176-2][264-2][320-2][480-2];6687.89310021,[176-2][202-2][264-2][320-2][480-2];6687.89310021,[134-2][176-2][264-2][320-2][480-2];6687.89310021
7,6687.89310021,26.1232727148,3880.5168457,47.40014418,340,-1[149-2][264-2][320-2];5251.98097041,[34-2][176-2][264-2][320-2][480-2];6687.89310021,[174-2][176-2][264-2][320-2][480-2];6687.89310021,[176-2][264-2][320-2][346-2][480-2];6687.89310021
7,6747.55255861,10.6235864404,3932.79980469,66.7567162222,327,-1[149-2][264-2][320-2];5251.98097041,[152-2][176-2][264-2][320-2][563-2];6747.55255861,[100-2][176-2][264-2][320-2][480-2];6687.89310021,[176-2][194-2][264-2][320-2][480-2];6687.89310021
7,6747.55255861,17.8467848906,3975.30883789,66.1010139963,333,-1[149-2][264-2][320-2];5251.98097041,[152-2][176-2][264-2][320-2][563-2];6747.55255861,[15-2][176-2][264-2][320-2][480-2];6723.89978565,[174-2][176-2][264-2][320-2][480-2];6687.89310021
7,6747.55255861,49.0225464681,3856.02514648,65.885815012,340,-1[149-2][264-2][320-2];5251.98097041,[152-2][176-2][264-2][320-2][563-2];6747.55255861,[15-2][176-2][264-2][320-2][480-2];6723.89978565,[174-2][176-2][264-2][320-2][480-2];6687.89310021
7,6747.55255861,54.0281577637,3900.08789063,66.9463085734,339,-1[149-2][264-2][320-2];5251.98097041,[152-2][176-2][264-2][320-2][563-2];6747.55255861,[15-2][176-2][264-2][320-2][480-2];6723.89978565,[95-2][176-2][264-2][320-2][480-2];6687.89310021
7,7491.85682649,76.1760767688,4018.27294922,68.5809158574,338,-1[149-2][264-2][320-2];5251.98097041,[152-2][176-2][264-2][320-2][429-2];7491.85682649,[152-2][176-2][264-2][320-2][563-2];6747.55255861,[15-2][176-2][264-2][320-2][480-2];6723.89978565
