TimeElapsed, Max, Min, Mean, Std, Number of items., Selected, Best Chromosomes
3,100,-5.99999982119,18.513551712,0.391608119493,2409,-1[48:136:228:358:0],[47-2][136-0][169-0][358-2];100,[47-2][241-0][358-2][368-1];95,[47-2][242-0][266-1][358-2];95,[47-2][241-0][254-0][358-2];93,[47-2][241-0][358-2][369-1];90,[47-2][168-0][266-1][358-2];89,[47-2][241-0][358-2][434-0];86,[47-2][358-2][371-1][444-1];86,[47-2][150-0][241-0][358-2];81,[47-2][241-0][358-2][414-0];80,[47-2][358-2][370-0][398-0];77.5,[127-0][267-2][291-1][358-2];77,[47-2][149-0][241-0][358-2];76,[47-2][246-2][280-0][358-2];75
4,105,-6.99999968708,20.0673980713,0.416845427101,2359,-1[48:136:228:358:0],[47-2][75-0][241-0][358-2];105,[47-2][136-0][169-0][358-2];100,[47-2][241-0][358-2][368-1];95,[47-2][242-0][266-1][358-2];95,[47-2][241-0][254-0][358-2];93,[49-2][75-0][76-0][358-2];92,[47-2][241-0][358-2][369-1];90,[47-2][168-0][266-1][358-2];89,[47-2][358-2][371-1][444-1];86,[47-2][241-0][358-2][434-0];86,[47-2][56-0][101-1][358-2];84.5,[47-2][199-0][358-2][415-1];82,[47-2][150-0][241-0][358-2];81,[47-2][241-0][358-2][414-0];80
4,105,-4.19999998748,23.0039920807,0.453237633096,2253,-1[48:136:228:358:0],[47-2][75-0][241-0][358-2];105,[47-2][174-1][266-1][358-2];100,[47-2][136-0][169-0][358-2];100,[47-2][241-0][358-2][368-1];95,[47-2][242-0][266-1][358-2];95,[47-2][243-0][358-2][434-0];95,[47-2][241-0][266-1][358-2];94,[47-2][241-0][254-0][358-2];93,[49-2][75-0][76-0][358-2];92,[47-2][254-0][358-2][368-1];91,[47-2][241-0][358-2][421-1];90,[47-2][241-0][358-2][369-1];90,[47-2][168-0][266-1][358-2];89,[47-2][358-2][371-1][444-1];86
4,142,-4,27.024679184,0.489469015408,2142,-1[48:136:228:358:0],[47-2][98-0][241-0][358-2];142,[47-2][75-0][241-0][358-2];105,[47-2][136-0][169-0][358-2];100,[47-2][174-1][266-1][358-2];100,[47-2][242-0][358-2][368-1];99,[47-2][241-0][358-2][368-1];95,[47-2][242-0][266-1][358-2];95,[47-2][243-0][358-2][434-0];95,[47-2][241-0][266-1][358-2];94,[47-2][241-0][254-0][358-2];93,[49-2][75-0][76-0][358-2];92,[47-2][254-0][358-2][368-1];91,[47-2][241-0][358-2][369-1];90,[47-2][241-0][358-2][421-1];90
4,142,-5.99999982119,29.6378326416,0.514720139725,2089,-1[48:136:228:358:0],[47-2][98-0][241-0][358-2];142,[47-2][100-0][242-0][358-2];142,[47-2][75-0][207-0][358-2];112,[47-2][174-1][242-0][358-2];109,[47-2][75-0][241-0][358-2];105,[47-2][82-0][241-0][358-2];101,[47-2][136-0][169-0][358-2];100,[47-2][174-1][266-1][358-2];100,[47-2][242-0][358-2][368-1];99,[48-2][53-1][241-0][358-2];97,[47-2][242-0][266-1][358-2];95,[47-2][243-0][358-2][434-0];95,[47-2][241-0][358-2][368-1];95,[47-2][241-0][266-1][358-2];94
4,142,-4.99999992549,30.5122871399,0.545952500221,2106,-1[48:136:228:358:0],[47-2][100-0][242-0][358-2];142,[47-2][98-0][241-0][358-2];142,[47-2][100-0][241-0][358-2];139,[47-2][175-0][241-0][358-2];137,[47-2][136-0][280-0][358-2];124,[47-2][325-0][358-2][368-1];118,[47-2][136-0][255-0][358-2];114,[47-2][75-0][207-0][358-2];112,[47-2][174-1][242-0][358-2];109,[47-2][75-0][241-0][358-2];105,[47-2][136-0][165-0][358-2];104,[47-2][82-0][241-0][358-2];101,[47-2][136-0][169-0][358-2];100,[47-2][174-1][266-1][358-2];100
4,142,-5.08333323234,33.6480026245,0.599409042682,2039,-1[48:136:228:358:0],[47-2][98-0][241-0][358-2];142,[47-2][100-0][242-0][358-2];142,[47-2][100-0][241-0][358-2];139,[47-2][175-0][241-0][358-2];137,[47-2][136-0][280-0][358-2];124,[47-2][325-0][358-2][368-1];118,[47-2][136-0][255-0][358-2];114,[47-2][75-0][207-0][358-2];112,[47-2][174-1][242-0][358-2];109,[47-2][75-0][241-0][358-2];105,[47-2][136-0][165-0][358-2];104,[47-2][82-0][241-0][358-2];101,[47-2][136-0][169-0][358-2];100,[47-2][174-1][266-1][358-2];100
4,142,-4.99999992549,36.689250946,0.635551162444,1934,-1[48:136:228:358:0],[47-2][98-0][241-0][358-2];142,[47-2][100-0][242-0][358-2];142,[47-2][100-0][241-0][358-2];139,[47-2][175-0][241-0][358-2];137,[47-2][241-0][351-0][358-2];127,[47-2][136-0][280-0][358-2];124,[47-2][325-0][358-2][368-1];118,[47-2][74-0][241-0][358-2];116,[47-2][136-0][255-0][358-2];114,[47-2][75-0][207-0][358-2];112,[47-2][174-1][242-0][358-2];109,[47-2][75-0][241-0][358-2];105,[47-2][174-1][241-0][358-2];105,[48-2][136-0][169-0][358-2];105
5,181,-4.99999992549,39.6825141907,0.673397855284,1880,-1[48:136:228:358:0],[47-2][68-0][241-0][358-2];181,[47-2][98-0][242-0][358-2];145,[47-2][241-0][358-2][399-0];143,[47-2][98-0][241-0][358-2];142,[47-2][100-0][242-0][358-2];142,[47-2][100-0][241-0][358-2];139,[47-2][175-0][241-0][358-2];137,[47-2][241-0][358-2][398-0];128,[47-2][241-0][351-0][358-2];127,[47-2][202-0][242-0][358-2];127,[47-2][136-0][280-0][358-2];124,[47-2][241-0][306-0][358-2];123,[47-2][325-0][358-2][368-1];118,[47-2][74-0][241-0][358-2];116
5,181,-5.99999982119,41.9753570557,0.709214273303,1863,-1[48:136:228:358:0],[47-2][68-0][241-0][358-2];181,[47-2][98-0][242-0][358-2];145,[47-2][241-0][358-2][399-0];143,[47-2][100-0][242-0][358-2];142,[47-2][98-0][241-0][358-2];142,[47-2][100-0][241-0][358-2];139,[47-2][175-0][241-0][358-2];137,[47-2][241-0][358-2][398-0];128,[47-2][202-0][242-0][358-2];127,[47-2][241-0][351-0][358-2];127,[47-2][136-0][280-0][358-2];124,[47-2][241-0][306-0][358-2];123,[47-2][325-0][358-2][368-1];118,[47-2][74-0][241-0][358-2];116
5,181,-3.59999982834,45.6997909546,0.758745778302,1776,-1[48:136:228:358:0],[47-2][68-0][241-0][358-2];181,[48-2][86-0][241-0][358-2];155,[47-2][102-0][241-0][358-2];152,[47-2][242-0][358-2][399-0];146,[47-2][98-0][242-0][358-2];145,[48-2][98-0][241-0][358-2];145,[47-2][241-0][358-2][399-0];143,[47-2][100-0][242-0][358-2];142,[47-2][98-0][241-0][358-2];142,[47-2][175-0][242-0][358-2];140,[47-2][100-0][241-0][358-2];139,[47-2][175-0][241-0][358-2];137,[47-2][241-0][358-2][398-0];128,[47-2][202-0][242-0][358-2];127
5,181,-4.49999996647,49.4383277893,0.830601660152,1741,-1[48:136:228:358:0],[47-2][68-0][241-0][358-2];181,[48-2][86-0][241-0][358-2];155,[47-2][102-0][241-0][358-2];152,[47-2][242-0][358-2][399-0];146,[48-2][98-0][241-0][358-2];145,[47-2][98-0][242-0][358-2];145,[47-2][241-0][358-2][399-0];143,[47-2][100-0][242-0][358-2];142,[47-2][98-0][241-0][358-2];142,[47-2][175-0][242-0][358-2];140,[47-2][100-0][241-0][358-2];139,[47-2][175-0][241-0][358-2];137,[47-2][241-0][358-2][398-0];128,[47-2][241-0][351-0][358-2];127
5,187,-4.49999996647,56.5765151978,0.892051424077,1618,-1[48:136:228:358:0],[47-2][68-0][242-0][358-2];187,[48-2][68-0][241-0][358-2];185,[47-2][68-0][241-0][358-2];181,[48-2][86-0][241-0][358-2];155,[47-2][102-0][242-0][358-2];155,[47-2][102-0][241-0][358-2];152,[47-2][242-0][358-2][399-0];146,[47-2][98-0][242-0][358-2];145,[48-2][98-0][241-0][358-2];145,[48-2][100-0][242-0][358-2];145,[47-2][241-0][358-2][399-0];143,[47-2][98-0][241-0][358-2];142,[47-2][100-0][242-0][358-2];142,[48-2][100-0][241-0][358-2];142
5,187,-4.74999996461,61.2890892029,0.950773113273,1562,-1[48:136:228:358:0],[47-2][68-0][242-0][358-2];187,[48-2][68-0][241-0][358-2];185,[47-2][68-0][241-0][358-2];181,[48-2][86-0][242-0][358-2];161,[48-2][86-0][241-0][358-2];155,[47-2][102-0][242-0][358-2];155,[47-2][102-0][241-0][358-2];152,[47-2][241-0][301-0][358-2];151,[47-2][242-0][358-2][399-0];146,[47-2][98-0][242-0][358-2];145,[48-2][98-0][241-0][358-2];145,[48-2][100-0][242-0][358-2];145,[47-2][241-0][358-2][399-0];143,[47-2][98-0][241-0][358-2];142
